Time,Bus1 PU,Bus2 PU,Bus3 PU,Bus4 PU,Bus5 PU,Bus6 PU,Bus7 PU,Bus8 PU,Bus9 PU,Bus10 PU,Bus1 Angle,Bus2 Angle,Bus3 Angle,Bus4 Angle,Bus5 Angle,Bus6 Angle,Bus7 Angle,Bus8 Angle,Bus9 Angle,Bus10 Angle
00:00:00,1.00000,1.00007,1.00010,0.99886,0.99790,0.99642,0.98938,0.98564,0.98316,0.98034,0.00000,2.78983,2.66474,2.50069,2.41589,2.21817,1.72685,1.27989,1.25514,0.92904
01:00:00,1.00000,1.00000,1.00000,0.99878,0.99784,0.99639,0.98930,0.98552,0.98254,0.97914,0.00000,2.93092,2.83492,2.67683,2.59524,2.40472,1.91695,1.47221,1.44271,1.05080
02:00:00,1.00000,1.00000,1.00000,0.99876,0.99782,0.99635,0.98913,0.98527,0.98204,0.97837,0.00000,2.93547,2.84028,2.68096,2.59873,2.40672,1.90927,1.45561,1.42369,0.99931
03:00:00,1.00000,1.00000,1.00000,0.99883,0.99793,0.99653,0.98965,0.98597,0.98288,0.97937,0.00000,3.04101,2.96778,2.81587,2.73747,2.55443,2.07995,1.64755,1.61696,1.21118
04:00:00,1.00000,1.00000,1.00000,0.99884,0.99795,0.99656,0.98980,0.98619,0.98329,0.97998,0.00000,3.04641,2.97441,2.82399,2.74635,2.56511,2.09939,1.67500,1.64618,1.26465
05:00:00,1.00000,1.00000,1.00000,0.99878,0.99785,0.99640,0.98933,0.98556,0.98252,0.97908,0.00000,2.94585,2.85291,2.69542,2.61413,2.42433,1.93653,1.49191,1.46165,1.06256
06:00:00,1.00000,1.00010,1.00014,0.99852,0.99728,0.99536,0.98607,0.98116,0.97752,0.97341,0.00000,2.15522,1.89800,1.68720,1.57826,1.32386,0.67882,0.08963,0.05251,-0.43029
07:00:00,1.00000,1.00020,1.00030,0.99808,0.99639,0.99377,0.98135,0.97481,0.97058,0.96580,0.00000,0.99927,0.50261,0.21602,0.06780,-0.27877,-1.14079,-1.93213,-1.97525,-2.54050
08:00:00,1.00000,1.00005,1.00008,0.99741,0.99539,0.99226,0.97713,0.96914,0.96326,0.95661,0.00000,0.40001,-0.22104,-0.55431,-0.72633,-1.12997,-2.15763,-3.10832,-3.16790,-3.96035
09:00:00,1.00000,1.00000,1.00000,0.99717,0.99504,0.99171,0.97532,0.96663,0.95944,0.95122,0.00000,0.28196,-0.36404,-0.71220,-0.89171,-1.31363,-2.41279,-3.43387,-3.50339,-4.47240
10:00:00,1.00000,1.00000,1.00000,0.99713,0.99497,0.99159,0.97488,0.96602,0.95847,0.94981,0.00000,0.25602,-0.39552,-0.74737,-0.92873,-1.35517,-2.47277,-3.51197,-3.58367,-4.60016
11:00:00,1.00000,1.00000,1.00000,0.99711,0.99494,0.99154,0.97466,0.96571,0.95791,0.94897,0.00000,0.26061,-0.39012,-0.74319,-0.92515,-1.35310,-2.48018,-3.52876,-3.60271,-4.65325
12:00:00,1.00000,1.00000,1.00000,0.99714,0.99500,0.99164,0.97509,0.96630,0.95891,0.95044,0.00000,0.27660,-0.37061,-0.72021,-0.90041,-1.32410,-2.43145,-3.46090,-3.53123,-4.52561
13:00:00,1.00000,1.00001,1.00001,0.99727,0.99522,0.99200,0.97609,0.96764,0.96043,0.95215,0.00000,0.47940,-0.12594,-0.46202,-0.63527,-1.04241,-2.10957,-3.10019,-3.16903,-4.13928
14:00:00,1.00000,1.00001,1.00001,0.99741,0.99545,0.99238,0.97721,0.96915,0.96223,0.95430,0.00000,0.69247,0.13124,-0.18988,-0.35543,-0.74427,-1.76397,-2.70913,-2.77540,-3.70427
15:00:00,1.00000,1.00000,1.00000,0.99740,0.99544,0.99238,0.97732,0.96931,0.96266,0.95504,0.00000,0.66779,0.10163,-0.21938,-0.38489,-0.77359,-1.78617,-2.72456,-2.78860,-3.68188
16:00:00,1.00000,1.00004,1.00005,0.99726,0.99516,0.99188,0.97615,0.96781,0.96188,0.95509,0.00000,0.18783,-0.47690,-0.82325,-1.00198,-1.42164,-2.48365,-3.46821,-3.52544,-4.32108
17:00:00,1.00000,1.00000,1.00000,0.99730,0.99525,0.99208,0.97736,0.96957,0.96529,0.96043,0.00000,0.14069,-0.53275,-0.87178,-1.04685,-1.45752,-2.45763,-3.38236,-3.42531,-3.99845
18:00:00,1.00000,1.00000,1.00000,0.99740,0.99543,0.99238,0.97855,0.97123,0.96805,0.96445,0.00000,0.19859,-0.46229,-0.79098,-0.96080,-1.35880,-2.30294,-3.17402,-3.20655,-3.63197
19:00:00,1.00000,1.00000,1.00000,0.99739,0.99542,0.99235,0.97853,0.97122,0.96823,0.96482,0.00000,0.15336,-0.51674,-0.84703,-1.01769,-1.41764,-2.36097,-3.23128,-3.26140,-3.66107
20:00:00,1.00000,1.00000,1.00000,0.99746,0.99553,0.99255,0.97914,0.97205,0.96927,0.96611,0.00000,0.25513,-0.39387,-0.71653,-0.88326,-1.27387,-2.19129,-3.03684,-3.06487,-3.43508
21:00:00,1.00000,1.00001,1.00002,0.99766,0.99586,0.99307,0.98058,0.97397,0.97141,0.96850,0.00000,0.56422,-0.02098,-0.32327,-0.47950,-0.84523,-1.70302,-2.49204,-2.51818,-2.85939
22:00:00,1.00000,1.00005,1.00007,0.99799,0.99640,0.99395,0.98284,0.97696,0.97442,0.97152,0.00000,1.11962,0.64896,0.38100,0.24249,-0.08140,-0.84798,-1.55097,-1.57661,-1.91464
23:00:00,1.00000,1.00015,1.00021,0.99864,0.99744,0.99558,0.98694,0.98237,0.97990,0.97709,0.00000,2.09993,1.83177,1.62458,1.51737,1.26737,0.66205,0.11043,0.08552,-0.24107
