Time,Bus1 PU,Bus1 Angle,Bus2 PU,Bus2 Angle,Bus3 PU,Bus3 Angle,Bus4 PU,Bus4 Angle,Bus5 PU,Bus5 Angle,Bus6 PU,Bus6 Angle,Bus7 PU,Bus7 Angle,Bus8 PU,Bus8 Angle,Bus9 PU,Bus9 Angle,Bus10 PU,Bus10 Angle
00:00:00,1,0,1,2.73572,1,2.58302,0.99719,2.23846,0.99507,2.06087,0.99176,1.64335,0.97529,0.54197,0.96654,-0.48186,0.95887,-0.55472,0.95006,-1.58853
01:00:00,1,0,1,2.87595,1,2.75224,0.99721,2.41544,0.99513,2.24205,0.99185,1.83397,0.97496,0.71359,0.96597,-0.32999,0.9567,-0.41591,0.94603,-1.66624
02:00:00,1,0,1,2.87956,1,2.75619,0.99717,2.41521,0.99504,2.23974,0.99171,1.82653,0.97429,0.67543,0.96501,-0.39829,0.95496,-0.49044,0.94337,-1.84852
03:00:00,1,0,1,2.98778,1,2.8877,0.99731,2.56263,0.99529,2.39534,0.99212,2.00161,0.97555,0.90439,0.96672,-0.11731,0.95712,-0.20572,0.94607,-1.49979
04:00:00,1,0,1,2.994,1,2.89556,0.99736,2.57469,0.99537,2.4095,0.99226,2.02091,0.97614,0.94941,0.96755,-0.04709,0.95853,-0.13086,0.94816,-1.34458
05:00:00,1,0,1.0001,2.88887,1.00015,2.76766,0.99743,2.43045,0.99537,2.2565,0.99218,1.84802,0.97551,0.71747,0.96672,-0.33109,0.95731,-0.42329,0.94666,-1.69886
06:00:00,1,0,1.00021,2.07755,1.00031,1.78238,0.99664,1.33281,0.99388,1.1007,0.9896,0.55433,0.96759,-0.93374,0.95609,-2.32608,0.94466,-2.43638,0.93169,-4.00643
07:00:00,1,0,1.00006,0.9015,1.00009,0.35597,0.99489,-0.24766,0.99106,-0.55877,0.98505,-1.29616,0.95524,-3.25503,0.93966,-5.12042,0.92633,-5.25766,0.9115,-7.13898
08:00:00,1,0,1,0.28398,1,-0.39517,0.99351,-1.10583,0.98879,-1.4709,0.9813,-2.34284,0.94314,-4.73331,0.92303,-7.06132,0.90384,-7.22427,0.88156,-9.96606
09:00:00,1,0,1,0.15715,1,-0.55116,0.99288,-1.30272,0.98776,-1.68787,0.97955,-2.61192,0.93662,-5.2246,0.91387,-7.80349,0.88988,-7.98003,0.86141,-11.44266
10:00:00,1,0,1,0.12917,1,-0.58568,0.99272,-1.34742,0.98749,-1.73754,0.9791,-2.67462,0.93492,-5.34484,0.91147,-7.98963,0.88619,-8.16993,0.85609,-11.83138
11:00:00,1,0,1,0.13279,1,-0.58174,0.99263,-1.34787,0.98735,-1.74007,0.97886,-2.68281,0.93394,-5.38611,0.91008,-8.06929,0.88389,-8.253,0.85266,-12.05669
12:00:00,1,0,1.00001,0.15073,1.00001,-0.55929,0.99282,-1.31531,0.98765,-1.70264,0.97936,-2.6324,0.93583,-5.27326,0.91274,-7.88422,0.88806,-8.06289,0.85872,-11.63087
13:00:00,1,0,1.00001,0.35844,1.00001,-0.30731,0.99314,-1.03445,0.9882,-1.40702,0.98027,-2.30027,0.93854,-4.84409,0.91639,-7.34915,0.89239,-7.52579,0.86392,-10.98073
14:00:00,1,0,1,0.57719,1,-0.0417,0.9935,-0.73604,0.98881,-1.09189,0.9813,-1.94379,0.94174,-4.36895,0.92073,-6.74593,0.89784,-6.91724,0.87074,-10.1911
15:00:00,1,0,1,0.55311,1,-0.07039,0.99356,-0.76266,0.9889,-1.11762,0.98146,-1.96683,0.94252,-4.36497,0.92187,-6.71101,0.89991,-6.87853,0.87397,-10.01258
16:00:00,1,0,1,0.06691,0.99994,-0.6576,0.99316,-1.39554,0.98825,-1.77465,0.98044,-2.68093,0.9409,-5.15138,0.92008,-7.56419,0.90077,-7.72813,0.87833,-10.497
17:00:00,1,0,1,0.02514,0.9998,-0.70376,0.99346,-1.41578,0.98883,-1.78237,0.98152,-2.65553,0.94606,-4.91753,0.92744,-7.10376,0.91363,-7.22629,0.89758,-9.17247
18:00:00,1,0,1,0.08872,1,-0.62699,0.99406,-1.30992,0.98969,-1.66204,0.98284,-2.49842,0.95059,-4.58815,0.9337,-6.59152,0.92357,-6.68689,0.91188,-8.10212
19:00:00,1,0,1,0.04336,0.99996,-0.68119,0.99402,-1.36608,0.98965,-1.7193,0.9828,-2.55808,0.95078,-4.63761,0.93401,-6.62975,0.92451,-6.71992,0.91355,-8.0463
20:00:00,1,0,1.00002,0.1478,1.00002,-0.55472,0.99427,-1.22274,0.99004,-1.5674,0.98341,-2.38498,0.95256,-4.39987,0.93642,-6.32434,0.92764,-6.40914,0.91756,-7.63156
21:00:00,1,0,1.00005,0.4635,1.00007,-0.1719,0.99476,-0.79741,0.99084,-1.12029,0.9847,-1.88471,0.95618,-3.76394,0.94126,-5.54931,0.93318,-5.62752,0.92392,-6.74475
22:00:00,1,0,1.00015,1.02948,1.00022,0.5139,0.99562,-0.04273,0.99218,-0.33032,0.98684,-1.00896,0.96163,-2.69859,0.94847,-4.29039,0.94048,-4.36796,0.93133,-5.46613
23:00:00,1,0,1.00015,2.03013,1.00022,1.72705,0.99674,1.29454,0.99412,1.07106,0.99004,0.54576,0.97027,-0.79791,0.95991,-2.04988,0.95221,-2.12421,0.9434,-3.16954
