Time,MVA_flow_T3,T3_loading,MVA_flow_L67,L67_loading
00:00:00,3.78989,37.899,3.85389,35.035
01:00:00,3.86699,38.670,3.93398,35.763
02:00:00,3.97555,39.756,4.04661,36.787
03:00:00,3.79259,37.926,3.85698,35.063
04:00:00,3.70134,37.013,3.76247,34.204
05:00:00,3.86821,38.682,3.93431,35.766
06:00:00,5.04109,50.411,5.15575,46.870
07:00:00,6.6014,66.014,6.80743,61.886
08:00:00,8.09419,80.942,8.42166,76.561
09:00:00,8.88884,88.888,9.29622,84.511
10:00:00,9.09393,90.939,9.52363,86.578
11:00:00,9.21393,92.139,9.6571,87.792
12:00:00,8.989,89.890,9.40712,85.519
13:00:00,8.67195,86.720,9.05753,82.341
14:00:00,8.28225,82.823,8.63017,78.456
15:00:00,8.18051,81.805,8.51847,77.441
16:00:00,8.34901,83.490,8.69988,79.090
17:00:00,7.62485,76.249,7.91065,71.915
18:00:00,7.0381,70.381,7.27683,66.153
19:00:00,6.99855,69.986,7.23423,65.766
20:00:00,6.78048,67.805,7.00003,63.637
21:00:00,6.33253,63.325,6.52141,59.286
22:00:00,5.69614,56.961,5.84549,53.141
23:00:00,4.55925,45.593,4.65217,42.292
