Time,bus 6 P,bus 8 P,bus 10 P,bus 6 Q,bus 8 Q,bus 10 Q
00:00:00,1.9,1.188,0.329,0.713,0.57,0.165
01:00:00,1.788,1.118,0.395,0.671,0.536,0.198
02:00:00,1.784,1.115,0.427,0.669,0.535,0.214
03:00:00,1.7,1.063,0.409,0.638,0.51,0.205
04:00:00,1.696,1.06,0.385,0.636,0.509,0.193
05:00:00,1.776,1.11,0.402,0.666,0.533,0.201
06:00:00,2.404,1.503,0.48,0.902,0.721,0.24
07:00:00,3.32,2.075,0.553,1.245,0.996,0.277
08:00:00,3.792,2.37,0.763,1.422,1.138,0.382
09:00:00,3.884,2.428,0.926,1.457,1.165,0.463
10:00:00,3.904,2.44,0.969,1.464,1.171,0.485
11:00:00,3.9,2.438,1,1.463,1.17,0.5
12:00:00,3.888,2.43,0.949,1.458,1.166,0.475
13:00:00,3.728,2.33,0.929,1.398,1.118,0.465
14:00:00,3.56,2.225,0.893,1.335,1.068,0.447
15:00:00,3.58,2.238,0.86,1.343,1.074,0.43
16:00:00,3.96,2.475,0.766,1.485,1.188,0.383
17:00:00,4,2.5,0.557,1.5,1.2,0.279
18:00:00,3.956,2.473,0.416,1.484,1.187,0.208
19:00:00,3.992,2.495,0.391,1.497,1.198,0.196
20:00:00,3.912,2.445,0.363,1.467,1.174,0.182
21:00:00,3.668,2.293,0.336,1.376,1.1,0.168
22:00:00,3.228,2.018,0.335,1.211,0.968,0.168
23:00:00,2.448,1.53,0.327,0.918,0.734,0.164
