Gen1 MW,Gen1 $/MWh,Gen2 MW,Gen2 $/MWh,Gen4 MW,Gen4 $/MWh,Gen6 MW,Gen6 $/MWh,Gen7 MW,Gen7 $/MWh
0,15.5448,0,15.4987,0,16.4091,0,16.1922,0,20.0031
4,15.566,5,15.5268,2,16.4203,5,16.2203,6,20.0631
8,15.5872,10,15.5548,4,16.4316,10,16.2483,12,20.1231
12,15.6084,15,15.5828,6,16.4428,15,16.2763,18,20.1831
16,15.6297,20,15.6108,8,16.454,20,16.3043,24,20.2431
20,15.6509,25,15.6389,10,16.4652,25,16.3323,30,20.3031
24,15.6721,30,15.6669,12,16.4764,30,16.3604,36,20.3632
28,15.6933,35,15.6949,14,16.4876,35,16.3884,42,20.4232
32,15.7145,40,15.723,16,16.4989,40,16.4164,48,20.4832
36,15.7357,45,15.751,18,16.5101,45,16.4444,54,20.5432
40,15.757,50,15.779,20,16.5213,50,16.4724,60,20.6032
44,15.7782,55,15.807,22,16.5325,55,16.5005,66,20.6632
48,15.7994,60,15.8351,24,16.5437,60,16.5285,72,20.7233
52,15.8206,65,15.8631,26,16.555,65,16.5565,78,20.7833
56,15.8418,70,15.8911,28,16.5662,70,16.5845,84,20.8433
60,15.863,75,15.9192,30,16.5774,75,16.6125,90,20.9033
64,15.8843,80,15.9472,32,16.5886,80,16.6406,96,20.9633
68,15.9055,85,15.9752,34,16.5998,85,16.6686,102,21.0233
72,15.9267,90,16.0033,36,16.6111,90,16.6966,108,21.0833
76,15.9479,95,16.0313,38,16.6223,95,16.7246,114,21.1434
80,15.9691,100,16.0593,40,16.6335,100,16.7526,120,21.2034
84,15.9903,105,16.0873,42,16.6447,105,16.7807,126,21.2634
88,16.0116,110,16.1154,44,16.6559,110,16.8087,132,21.3234
92,16.0328,115,16.1434,46,16.6671,115,16.8367,138,21.3834
96,16.054,120,16.1714,48,16.6784,120,16.8647,144,21.4434
100,16.0752,125,16.1995,50,16.6896,125,16.8928,150,21.5035
104,16.0964,130,16.2275,52,16.7008,130,16.9208,156,21.5635
108,16.1176,135,16.2555,54,16.712,135,16.9488,162,21.6235
112,16.1388,140,16.2835,56,16.7232,140,16.9768,168,21.6835
116,16.1601,145,16.3116,58,16.7345,145,17.0048,174,21.7435
120,16.1813,150,16.3396,60,16.7457,150,17.0329,180,21.8035
124,16.2025,155,16.3676,62,16.7569,155,17.0609,186,21.8635
128,16.2237,160,16.3957,64,16.7681,160,17.0889,192,21.9236
132,16.2449,165,16.4237,66,16.7793,165,17.1169,198,21.9836
136,16.2661,170,16.4517,68,16.7905,170,17.1449,204,22.0436
140,16.2874,175,16.4798,70,16.8018,175,17.173,210,22.1036
144,16.3086,180,16.5078,72,16.813,180,17.201,216,22.1636
148,16.3298,185,16.5358,74,16.8242,185,17.229,222,22.2236
152,16.351,190,16.5638,76,16.8354,190,17.257,228,22.2837
156,16.3722,195,16.5919,78,16.8466,195,17.285,234,22.3437
160,16.3934,200,16.6199,80,16.8579,200,17.3131,240,22.4037
164,16.4147,205,16.6479,82,16.8691,205,17.3411,246,22.4637
168,16.4359,210,16.676,84,16.8803,210,17.3691,252,22.5237
172,16.4571,215,16.704,86,16.8915,215,17.3971,258,22.5837
176,16.4783,220,16.732,88,16.9027,220,17.4251,264,22.6437
180,16.4995,225,16.7601,90,16.914,225,17.4532,270,22.7038
184,16.5207,230,16.7881,92,16.9252,230,17.4812,276,22.7638
188,16.542,235,16.8161,94,16.9364,235,17.5092,282,22.8238
192,16.5632,240,16.8441,96,16.9476,240,17.5372,288,22.8838
196,16.5844,245,16.8722,98,16.9588,245,17.5653,294,22.9438
200,16.6056,250,16.9002,100,16.97,250,17.5933,300,23.0038
204,16.6268,255,16.9282,102,16.9813,255,17.6213,306,23.0639
208,16.648,260,16.9563,104,16.9925,260,17.6493,312,23.1239
212,16.6692,265,16.9843,106,17.0037,265,17.6773,318,23.1839
216,16.6905,270,17.0123,108,17.0149,270,17.7054,324,23.2439
220,16.7117,275,17.0403,110,17.0261,275,17.7334,330,23.3039
224,16.7329,280,17.0684,112,17.0374,280,17.7614,336,23.3639
228,16.7541,285,17.0964,114,17.0486,285,17.7894,342,23.4239
232,16.7753,290,17.1244,116,17.0598,290,17.8174,348,23.484
236,16.7965,295,17.1525,118,17.071,295,17.8455,354,23.544
240,16.8178,300,17.1805,120,17.0822,300,17.8735,360,23.604
244,16.839,305,17.2085,122,17.0934,305,17.9015,366,23.664
248,16.8602,310,17.2366,124,17.1047,310,17.9295,372,23.724
252,16.8814,315,17.2646,126,17.1159,315,17.9575,378,23.784
256,16.9026,320,17.2926,128,17.1271,320,17.9856,384,23.8441
260,16.9238,325,17.3206,130,17.1383,325,18.0136,390,23.9041
264,16.9451,330,17.3487,132,17.1495,330,18.0416,396,23.9641
268,16.9663,335,17.3767,134,17.1608,335,18.0696,402,24.0241
272,16.9875,340,17.4047,136,17.172,340,18.0977,408,24.0841
276,17.0087,345,17.4328,138,17.1832,345,18.1257,414,24.1441
280,17.0299,350,17.4608,140,17.1944,350,18.1537,420,24.2041
284,17.0511,355,17.4888,142,17.2056,355,18.1817,426,24.2642
288,17.0724,360,17.5169,144,17.2169,360,18.2097,432,24.3242
292,17.0936,365,17.5449,146,17.2281,365,18.2378,438,24.3842
296,17.1148,370,17.5729,148,17.2393,370,18.2658,444,24.4442
300,17.136,375,17.6009,150,17.2505,375,18.2938,450,24.5042
304,17.1572,380,17.629,152,17.2617,380,18.3218,456,24.5642
308,17.1784,385,17.657,154,17.2729,385,18.3498,462,24.6243
312,17.1996,390,17.685,156,17.2842,390,18.3779,468,24.6843
316,17.2209,395,17.7131,158,17.2954,395,18.4059,474,24.7443
320,17.2421,400,17.7411,160,17.3066,400,18.4339,480,24.8043
324,17.2633,405,17.7691,162,17.3178,405,18.4619,486,24.8643
328,17.2845,410,17.7971,164,17.329,410,18.4899,492,24.9243
332,17.3057,415,17.8252,166,17.3403,415,18.518,498,24.9843
336,17.3269,420,17.8532,168,17.3515,420,18.546,504,25.0444
340,17.3482,425,17.8812,170,17.3627,425,18.574,510,25.1044
344,17.3694,430,17.9093,172,17.3739,430,18.602,516,25.1644
348,17.3906,435,17.9373,174,17.3851,435,18.63,522,25.2244
352,17.4118,440,17.9653,176,17.3963,440,18.6581,528,25.2844
356,17.433,445,17.9934,178,17.4076,445,18.6861,534,25.3444
360,17.4542,450,18.0214,180,17.4188,450,18.7141,540,25.4045
364,17.4755,455,18.0494,182,17.43,455,18.7421,546,25.4645
368,17.4967,460,18.0774,184,17.4412,460,18.7702,552,25.5245
372,17.5179,465,18.1055,186,17.4524,465,18.7982,558,25.5845
376,17.5391,470,18.1335,188,17.4637,470,18.8262,564,25.6445
380,17.5603,475,18.1615,190,17.4749,475,18.8542,570,25.7045
384,17.5815,480,18.1896,192,17.4861,480,18.8822,576,25.7645
388,17.6028,485,18.2176,194,17.4973,485,18.9103,582,25.8246
392,17.624,490,18.2456,196,17.5085,490,18.9383,588,25.8846
396,17.6452,495,18.2737,198,17.5197,495,18.9663,594,25.9446
400,17.6664,500,18.3017,200,17.531,500,18.9943,600,26.0046
