Year,Coal,Oil,Natural gas,Nuclear,Hydro,Tidal,Biofuels,Waste,Wind,Solar PV,Other sources
2000,122300,8446,148077,85063,7780,,3096,1359,947,1,
2001,133048,5252,141905,90094,6478,,3646,3400,965,2,
2002,125681,4799,152276,87848,7439,,4173,3772,1256,3,
2003,139842,4594,148881,88686,5961,,5138,3808,1285,3,
2004,133268,4644,157065,79999,7492,,6384,3136,1935,4,
2005,136336,5339,152640,81618,7852,,8140,3519,2904,8,
2006,150480,6174,140828,75451,8446,,8194,3474,4225,11,
2007,137491,5049,165793,63028,8936,,8135,3110,5274,14,
2008,125770,6709,176219,52486,9230,,8295,2749,7396,17,
2009,104447,5995,166499,69098,8913,1,9165,3089,9584,20,
2010,108729,5470,175653,62139,6741,1,10732,2995,10285,40,
2011,109446,3268,146499,68980,8597,0,11809,3145,15962,243,
2012,144086,3245,100169,70405,8276,3,12960,3706,19847,1353,
2013,131680,2224,95842,70606,7605,3,16455,3370,28397,2010,
2014,101649,1920,100892,63747,8771,1,20719,3999,31959,4054,
2015,76963,2137,99875,70344,9036,0,26679,5191,40274,7532,
2016,31435,1890,143356,71726,8329,0,27325,5628,37159,10395,
2017,23284,1616,136745,70336,8753,4,28508,7081,49641,11457,
2018,17745,1674,131489,65063,7941,9,31611,7296,56907,12668,83
2019,7943,1514,132071,56183,7689,13,33736,7936,63834,12418,49
2020,6519,1391,111571,50278,8407,11,35314,9047,75379,12503,40
2021,7461,1822,123423,45903,7292,5,35636,9451,64663,12075,73
2022,6557,1902,125495,47723,7632,11,31211,9854,80257,13282,158
2023,4472,2360,96226,40748,7018,11,29007,9943,81989,13826,
